,Unnamed: 0,Timestamp,Light,chamber_1_loc,chamber_2_loc,chamber_3_loc,chamber_4_loc,chamber_5_loc,chamber_6_loc,chamber_7_loc,chamber_8_loc,chamber_9_loc,chamber_10_loc,chamber_11_loc,chamber_12_loc,chamber_13_loc,chamber_14_loc,chamber_15_loc,chamber_16_loc,chamber_17_loc,chamber_18_loc,chamber_19_loc,chamber_20_loc,chamber_1_shock,chamber_2_shock,chamber_3_shock,chamber_4_shock,chamber_5_shock,chamber_6_shock,chamber_7_shock,chamber_8_shock,chamber_9_shock,chamber_10_shock,chamber_11_shock,chamber_12_shock,chamber_13_shock,chamber_14_shock,chamber_15_shock,chamber_16_shock,chamber_17_shock,chamber_18_shock,chamber_19_shock,chamber_20_shock,mch_right_status,oct_right_status,moil_right_status,mch_left_status,oct_left_status,moil_left_status
0,0,2024-09-04 12:39:10,light_state,-34.28571428571429,15.714285714285722,68.57142857142858,90.0,50.0,-47.14285714285714,74.28571428571428,51.428571428571416,-15.714285714285708,-27.142857142857157,33.333333333333314,-31.851851851851848,57.03703703703704,-52.59259259259259,28.88888888888889,-79.25925925925927,-55.55555555555556,19.25925925925926,80.74074074074073,-2.2222222222222285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,67.14285714285714,90.0,45.714285714285694,-47.14285714285714,77.14285714285714,57.14285714285714,-15.714285714285708,-27.142857142857157,34.81481481481481,-36.29629629629629,57.03703703703704,-46.66666666666666,28.88888888888889,-79.25925925925927,-55.55555555555556,9.629629629629632,89.62962962962965,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,67.14285714285714,84.28571428571428,44.28571428571428,-50.0,78.57142857142858,60.0,-15.714285714285708,-27.142857142857157,31.851851851851848,-37.77777777777778,57.03703703703704,-46.66666666666666,28.88888888888889,-79.25925925925927,-54.07407407407408,9.629629629629632,91.11111111111111,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,65.71428571428572,85.71428571428572,40.0,-47.14285714285714,78.57142857142858,65.71428571428572,-15.714285714285708,-27.142857142857157,34.81481481481481,-42.22222222222223,57.03703703703704,-45.18518518518518,28.88888888888889,-79.25925925925927,-51.11111111111112,8.148148148148152,89.62962962962965,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,65.71428571428572,84.28571428571428,35.71428571428572,-47.14285714285714,82.85714285714286,68.57142857142858,-15.714285714285708,-27.142857142857157,34.81481481481481,-45.18518518518518,57.03703703703704,-40.74074074074075,28.88888888888889,-79.25925925925927,-49.62962962962963,6.666666666666671,89.62962962962965,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,61.428571428571445,87.14285714285714,30.0,-44.285714285714285,84.28571428571428,74.28571428571428,-11.42857142857143,-27.142857142857157,28.88888888888889,-49.62962962962963,57.03703703703704,-40.74074074074075,28.88888888888889,-79.25925925925927,-48.14814814814815,0.7407407407407334,88.14814814814815,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,62.85714285714286,91.42857142857144,30.0,-47.14285714285714,84.28571428571428,77.14285714285714,-10.0,-27.142857142857157,30.37037037037038,-49.62962962962963,57.03703703703704,-39.25925925925926,28.88888888888889,-79.25925925925927,-46.66666666666666,0.7407407407407334,86.66666666666666,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2024-09-04 12:39:10,light_state,-34.28571428571429,7.142857142857139,61.428571428571445,90.0,25.714285714285708,-45.71428571428572,84.28571428571428,80.0,-8.57142857142857,-27.142857142857157,27.40740740740742,-54.07407407407408,57.03703703703704,-34.81481481481481,28.88888888888889,-79.25925925925927,-46.66666666666666,-3.7037037037037095,83.7037037037037,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2024-09-04 12:39:11,light_state,-34.28571428571429,7.142857142857139,58.57142857142856,87.14285714285714,24.28571428571429,-47.14285714285714,84.28571428571428,82.85714285714286,-8.57142857142857,-27.142857142857157,25.925925925925924,-57.03703703703704,57.03703703703704,-33.33333333333334,28.88888888888889,-79.25925925925927,-46.66666666666666,-6.666666666666671,82.22222222222223,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,2024-09-04 12:39:11,light_state,-34.28571428571429,7.142857142857139,62.85714285714286,85.71428571428572,22.85714285714286,-44.285714285714285,84.28571428571428,85.71428571428572,-11.42857142857143,-27.142857142857157,24.444444444444443,-62.96296296296296,57.03703703703704,-28.148148148148145,28.88888888888889,-79.25925925925927,-45.18518518518518,-9.629629629629632,80.74074074074073,-8.148148148148152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
